cliente;RespCampanha;TempoDesdeUltCompra;TempoRel;VlMedio;Pct_Vestuario;RegValorCli;RendaMensal
21893;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
22096;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
22299;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
22502;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
22705;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
22908;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
23111;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
23314;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
23517;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
23720;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
23923;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
24126;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
24329;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
24532;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
24735;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
24938;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
25141;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
25344;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
25547;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
25750;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
25953;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
41;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
244;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
447;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
650;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
853;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
1056;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
1259;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
1462;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
1665;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
1868;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
2071;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
2274;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
2477;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
2680;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
2883;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
3086;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
3289;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
3492;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
3695;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
3898;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
4101;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
4304;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
4507;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
4710;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
4913;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
5116;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
5319;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
5522;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
5725;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
5928;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
6131;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
6334;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
6537;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
6740;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
6943;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
7146;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
7349;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
7552;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
7755;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
7958;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
8161;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
8364;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
8567;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
8770;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
8973;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
9176;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
9379;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
9582;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
9785;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
9988;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
10191;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
10394;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
10597;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
10800;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
11003;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
11206;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
11409;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
11612;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
11815;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
12018;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
12221;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
12424;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
12627;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
12830;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
13033;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
13236;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
13439;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
13642;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
13845;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
14048;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
14251;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
14454;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
14657;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
14860;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
15063;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
15266;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
15469;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
15672;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
15875;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
16078;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
16281;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
16484;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
16687;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
16890;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
17093;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
17296;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
17499;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
17702;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
17905;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
18108;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
18311;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
18514;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
18717;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
18920;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
19123;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
19326;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
19529;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
19732;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
19935;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
20138;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
20341;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
20544;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
20747;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
20950;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
21153;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
21356;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
21559;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
21762;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
21965;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
22168;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
22371;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
22574;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
22777;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
22980;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
23183;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
23386;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
23589;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
23792;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
23995;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
24198;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
24401;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
24604;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
24807;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
25010;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
25213;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
25416;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
25619;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
25822;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;2-10% a 20%;I;1-Até  R1518
165;0;4-Mais de 60 dias;2-1 a 3 anos;1-Até R$120;1-Até 10%;III;2-R$1519 a R$3000
